Id,Label,Intent,Extent,Frequency,Positive,Negative,Quality,Pertinence,Mean,Selected
68,|0|5|15|32|6|17|2|8|,|0|5|15|32|6|17|2|8|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|11|13|15|17|19|21|22|26|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|15|17|19|21|22|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|21|23|24|31|32|35|-|0|2|5|6|8|11|12|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|,19,0,19,15.991667,2.662966,13.8854,TRUE
97,|0|5|31|20|6|17|,|0|5|31|20|6|17|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|33|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|33|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|33|34|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|3|5|6|8|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|33|34|-|0|3|5|6|8|11|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|,36,0,36,38.224615,2.109244,21.598995,TRUE
98,|0|5|31|32|20|6|17|,|0|5|31|32|20|6|17|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|3|5|6|8|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|8|11|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|,32,0,32,32.007729,3.080224,17.101174,TRUE
108,|0|5|32|20|6|,|0|5|32|20|6|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|14|16|18|20|22|24|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|26|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|30|32|34|-|0|2|5|6|9|10|12|14|16|19|20|22|28|30|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|9|10|13|14|16|19|20|22|28|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|29|30|32|35|-|0|3|5|6|8|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|8|11|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|27|30|32|34|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|12|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|,46,0,46,57.72303,2.558145,32.040309,TRUE
109,|0|5|32|6|,|0|5|32|6|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|14|16|18|20|22|24|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|26|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|11|13|15|17|19|21|22|26|30|32|34|-|0|2|5|6|9|10|12|14|16|19|20|22|28|30|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|9|10|13|14|16|19|20|22|28|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|29|30|32|35|-|0|3|5|6|8|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|8|11|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|15|17|19|21|22|24|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|14|16|18|21|22|24|30|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|27|30|32|34|-|0|2|5|6|8|11|13|15|17|18|21|23|24|31|32|35|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|12|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|,50,0,50,67.663399,2.04992,42.985026,TRUE
126,|0|5|8|2|32|20|6|,|0|5|8|2|32|20|6|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|14|16|18|20|22|24|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|26|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|29|30|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|27|30|32|34|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|12|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|,27,0,27,25.181757,2.219564,15.740104,TRUE
127,|0|5|8|2|32|6|,|0|5|8|2|32|6|,|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|14|16|18|20|22|24|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|26|30|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|11|13|15|17|19|21|22|26|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|28|30|32|34|-|0|2|5|6|8|11|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|29|30|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|10|13|15|17|19|21|22|24|31|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|14|16|18|21|22|24|30|32|34|-|0|2|5|6|8|10|13|15|17|19|20|22|24|31|32|34|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|2|5|6|8|11|12|15|17|18|20|23|24|31|32|34|-|0|2|5|6|8|11|13|14|16|18|20|22|27|30|32|34|-|0|2|5|6|8|11|13|15|17|18|21|23|24|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|11|12|15|17|19|20|22|26|30|32|34|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|2|5|6|8|10|13|15|17|19|20|22|26|31|32|34|-|0|2|5|6|8|11|13|15|17|18|20|23|24|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|,31,0,31,30.564524,2.219222,20.576927,TRUE
981,|14|0|5|19|32|22|6|20|,|14|0|5|19|32|22|6|20|,|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|9|10|12|14|16|19|20|22|28|30|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|9|10|13|14|16|19|20|22|28|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|8|10|12|14|17|19|20|22|25|31|32|35|-|0|3|5|6|8|11|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|8|10|13|14|17|19|20|22|25|31|32|35|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|13|14|17|19|20|22|25|31|32|34|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|-|0|3|5|6|9|11|12|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|28|30|32|34|-|0|2|5|6|8|10|12|14|17|19|20|22|26|31|32|35|-|0|3|5|6|9|10|13|14|17|19|20|22|25|31|32|35|-|0|2|5|6|8|10|12|14|16|19|20|22|24|30|32|34|-|0|3|5|6|9|10|12|14|17|19|20|22|25|31|32|34|,24,0,24,21.511688,2.099403,16.604173,TRUE
1355,|26|7|4|10|31|22|2|8|20|17|19|1|15|,|26|7|4|10|31|22|2|8|20|17|19|1|15|,|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|34|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|,26,26,0,51.239024,2.065363,41.386583,TRUE
1973,|4|2|,|4|2|,|1|2|4|7|8|10|13|15|17|19|20|22|26|30|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|30|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|30|33|34|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|0|2|4|7|8|11|13|15|17|19|20|23|24|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|9|10|12|15|17|19|20|22|25|31|32|34|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|25|30|33|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|12|15|17|19|20|22|25|30|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|34|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|11|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|0|2|4|7|8|11|13|15|17|19|20|23|24|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|33|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|33|35|-|0|2|4|6|8|10|13|14|16|19|21|22|29|31|32|34|-|1|2|4|7|8|11|13|15|17|19|20|23|24|30|32|35|-|1|2|4|7|8|11|13|15|17|19|20|23|25|31|32|35|-|0|2|4|6|8|11|13|15|17|18|21|22|24|31|32|34|-|1|2|4|7|8|10|12|15|17|19|20|22|25|31|32|34|-|1|2|4|7|9|10|12|15|17|19|20|22|25|31|32|34|-|1|2|4|7|8|10|12|15|17|19|20|22|26|31|32|34|-|1|2|4|7|8|10|12|15|17|19|20|22|25|31|32|35|-|1|2|4|7|8|10|13|15|17|19|20|22|26|31|32|35|,42,40,2,89.024968,2.757578,27.432831,TRUE
